Epoch_ms,FSR-1,FSR-2,FSR-3,FSR-4,FSR-5,FSR-6
1769641183420,0,0,0,0,0,12
1769641183422,0,0,0,0,0,11
1769641183423,0,0,0,0,0,12
1769641183424,0,0,0,0,0,12
1769641183426,0,0,0,0,0,11
1769641183427,0,0,0,0,0,11
1769641183429,0,0,0,0,0,11
1769641183430,0,0,0,0,0,11
1769641183432,0,0,0,0,0,10
1769641183433,0,0,0,0,0,12
1769641183434,0,0,0,0,0,12
1769641183436,0,0,0,0,0,12
1769641183437,0,0,0,0,0,11
1769641183439,0,0,0,0,0,10
1769641183440,0,0,0,0,0,11
1769641183442,0,0,0,0,0,13
1769641183443,0,0,0,0,0,10
1769641183444,0,0,0,0,0,11
1769641183446,0,0,0,0,0,11
1769641183447,0,0,0,0,0,12
1769641183449,0,0,0,0,0,11
1769641183450,0,0,0,0,0,10
1769641183451,0,0,0,0,0,12
1769641183453,0,0,0,0,0,11
1769641183454,0,0,0,0,0,11
1769641183456,0,0,0,0,0,11
1769641183457,0,0,0,0,0,12
1769641183459,0,0,0,0,0,13
1769641183460,0,0,0,0,0,10
1769641183462,0,0,0,0,0,10
1769641183463,0,0,0,0,0,10
1769641183465,0,0,0,0,0,11
1769641183466,0,0,0,0,0,12
1769641183467,0,0,0,0,0,11
1769641183469,0,0,0,0,0,11
1769641183470,0,0,0,0,0,11
1769641183472,0,0,0,0,0,12
1769641183473,0,0,0,0,0,12
1769641183474,0,0,0,0,0,12
1769641183476,0,0,0,0,0,11
1769641183477,0,0,0,0,0,12
1769641183479,0,0,0,0,0,11
1769641183480,0,0,0,0,0,11
1769641183482,0,0,0,0,0,11
1769641183483,0,0,0,0,0,11
1769641183484,0,0,0,0,0,11
1769641183486,0,0,0,0,0,12
1769641183487,0,0,0,0,0,11
1769641183489,0,0,0,0,0,11
1769641183490,0,0,0,0,0,11
1769641183492,0,0,0,0,0,10
1769641183493,0,0,0,0,0,12
1769641183494,0,0,0,0,0,11
1769641183496,0,0,0,0,0,11
1769641183497,0,0,0,0,0,11
1769641183499,0,0,0,0,0,11
1769641183500,0,0,0,0,0,10
1769641183501,0,0,0,0,0,13
1769641183503,0,0,0,0,0,9
1769641183504,0,0,0,0,0,9
1769641183506,0,0,0,0,0,11
1769641183507,0,0,0,0,0,10
1769641183509,0,0,0,0,0,11
1769641183510,0,0,0,0,0,11
1769641183511,0,0,0,0,0,10
1769641183513,0,0,0,0,0,9
1769641183514,0,0,0,0,0,11
1769641183516,0,0,0,0,0,11
1769641183517,0,0,0,0,0,11
1769641183519,0,0,0,0,0,11
1769641183520,0,0,0,0,0,10
1769641183521,0,0,0,0,0,11
1769641183523,0,0,0,0,0,11
1769641183524,0,0,0,0,0,11
1769641183526,0,0,0,0,0,10
1769641183527,0,0,0,0,0,11
1769641183529,0,0,0,0,0,9
1769641183530,0,0,0,0,0,10
1769641183531,0,0,0,0,0,11
1769641183533,0,0,0,0,0,10
1769641183534,0,0,0,0,0,10
1769641183536,0,0,0,0,0,9
1769641183537,0,0,0,0,0,12
1769641183539,0,0,0,0,0,11
1769641183540,0,0,0,0,0,10
1769641183541,0,0,0,0,0,11
1769641183543,0,0,0,0,0,10
1769641183544,0,0,0,0,0,11
1769641183546,0,0,0,0,0,9
1769641183547,0,0,0,0,0,10
1769641183549,0,0,0,0,0,11
1769641183550,0,0,0,0,0,10
1769641183551,0,0,0,0,0,11
1769641183553,0,0,0,0,0,11
1769641183554,0,0,0,0,0,9
1769641183556,0,0,0,0,0,11
1769641183557,0,0,0,0,0,11
1769641183558,0,0,0,0,0,9
1769641183560,0,0,0,0,0,11
1769641183561,0,0,0,0,0,11
1769641183563,0,0,0,0,0,11
1769641183564,0,0,0,0,0,10
1769641183566,0,0,0,0,0,11
1769641183567,0,0,0,0,0,11
1769641183568,0,0,0,0,0,12
1769641183570,0,0,0,0,0,10
1769641183571,0,0,0,0,0,10
1769641183573,0,0,0,0,0,10
1769641183574,0,0,0,0,0,10
1769641183576,0,0,0,0,0,11
1769641184577,0,0,0,0,0,11
1769641184578,0,0,0,0,0,11
1769641184580,0,0,0,0,0,10
1769641184581,0,0,0,0,0,10
1769641184583,0,0,0,0,0,10
1769641184584,0,0,0,0,0,11
1769641184585,0,0,0,0,0,11
1769641184587,0,0,0,0,0,11
1769641184588,0,0,0,0,0,11
1769641184590,0,0,0,0,0,10
1769641184591,0,0,0,0,0,10
1769641184593,0,0,0,0,0,11
1769641184594,0,0,0,0,0,12
1769641184595,0,0,0,0,0,12
1769641184597,0,0,0,0,0,11
1769641184598,0,0,0,0,0,10
1769641184600,0,0,0,0,0,11
1769641184601,0,0,0,0,0,12
1769641184603,0,0,0,0,0,11
1769641184604,0,0,0,0,0,10
