sample_index,recorded_at_iso,d1_epoch_ms,d1_fsr1,d1_fsr2,d1_fsr3,d1_fsr4,d1_fsr5,d1_fsr6,d2_epoch_ms,d2_fsr1,d2_fsr2,d2_fsr3,d2_fsr4,d2_fsr5,d2_fsr6
194,2026-04-02T19:28:14Z,1775158093183,0,0,0,0,0,0,1775158093588,0,0,0,0,0,0
195,2026-04-02T19:28:14Z,1775158093183,0,0,0,0,0,0,1775158093591,0,0,0,0,0,0
196,2026-04-02T19:28:14Z,1775158093186,0,0,0,0,0,0,1775158093594,0,0,0,0,0,0
197,2026-04-02T19:28:14Z,1775158093189,0,0,0,0,0,0,1775158093594,0,0,0,0,0,0
198,2026-04-02T19:28:14Z,1775158093192,0,0,0,0,0,0,1775158093597,0,0,0,0,0,0
199,2026-04-02T19:28:14Z,1775158093192,0,0,0,0,0,0,1775158093597,0,0,0,0,0,0
200,2026-04-02T19:28:14Z,1775158093195,0,0,0,0,0,0,1775158093603,0,0,0,0,0,0
201,2026-04-02T19:28:14Z,1775158093195,0,0,0,0,0,0,1775158093603,0,0,0,0,0,0
202,2026-04-02T19:28:14Z,1775158093198,0,0,0,0,0,0,1775158093606,0,0,0,0,0,0
203,2026-04-02T19:28:14Z,1775158093202,0,0,0,0,0,0,1775158093609,0,0,0,0,0,0
204,2026-04-02T19:28:14Z,1775158093202,0,0,0,0,0,0,1775158093609,0,0,0,0,0,0
205,2026-04-02T19:28:14Z,1775158093205,0,0,0,0,0,0,1775158093612,0,0,0,0,0,0
206,2026-04-02T19:28:14Z,1775158093205,0,0,0,0,0,0,1775158093612,0,0,0,0,0,0
207,2026-04-02T19:28:14Z,1775158093208,0,0,0,0,0,0,1775158093615,0,0,0,0,0,0
208,2026-04-02T19:28:14Z,1775158093211,0,0,0,0,0,0,1775158093615,0,0,0,0,0,0
209,2026-04-02T19:28:14Z,1775158093214,0,0,0,0,0,0,1775158093618,0,0,0,0,0,0
210,2026-04-02T19:28:14Z,1775158093214,0,0,0,0,0,0,1775158093621,0,0,0,0,0,0
211,2026-04-02T19:28:14Z,1775158093217,0,0,0,0,0,0,1775158093624,0,0,0,0,0,0
212,2026-04-02T19:28:14Z,1775158093220,0,0,0,0,0,0,1775158093624,0,0,0,0,0,0
213,2026-04-02T19:28:14Z,1775158093220,0,0,0,0,0,0,1775158093627,0,0,0,0,0,0
